,box_1,box_2,box_3,box_4
2015.0,23402384.584960207,10090409.397016011,1927012.2303490113,659473.4135111003
2015.0833333333333,23402384.834101357,10090409.232719224,1927012.1483986436,659473.4479489035
2015.1666666666667,23402384.584960207,10090409.397016011,1927012.2303490113,659473.4135111003
2015.25,23402384.658559628,10090409.342944048,1927012.203227294,659473.426349204
2015.3333333333333,23402384.584960207,10090409.397016011,1927012.2303490113,659473.4135111003
2015.4166666666667,23402384.658559628,10090409.342944048,1927012.203227294,659473.426349204
2015.5,23402384.584960207,10090409.397016011,1927012.2303490113,659473.4135111003
2015.5833333333335,23402384.584960207,10090409.397016011,1927012.2303490113,659473.4135111003
2015.6666666666667,23402384.658559628,10090409.342944048,1927012.203227294,659473.426349204
2015.75,23402384.584960207,10090409.397016011,1927012.2303490113,659473.4135111003
2015.8333333333335,23402384.658559628,10090409.342944048,1927012.203227294,659473.426349204
2015.9166666666667,23402384.584960207,10090409.397016011,1927012.2303490113,659473.4135111003
